% Model:              3-D_rect_model.mph
% Version:            COMSOL 5.2.1.152
% Date:               Mar 1 2019, 17:05
% Dimension:          3
% Nodes:              9149
% Expressions:        1
% Description:        温度
% Length unit:        m
% x                       y                        z                        T (K)
0                         0.14272263697197057      0.13934404594970232      287.42226369719714
0.1708686293845112        0.08985593022648264      0                        282.13559302264827
0.1551584421089464        0.10483844851783305      0.0340917672211788       283.6338448517835
0.14078992679595856       0.13679112023719942      0                        286.82911202372
0.13117188669535643       0.15052101573372342      0.03384728376711205      288.20210157337254
0.1782584348172035        0.176156574067299        0                        290.7656574067301
0.13779384652165427       0.1933151876306455       0                        292.4815187630647
0.12221033552210245       0.1842114018221297       0.032402886197343        291.57114018221307
0.11324878434884847       0.217901787910536        0.030958488627573895     294.94017879105377
0                         0.20160416856380672      0.1427319083323777       293.31041685638075
0.023929110215119127      0.16776094364130242      0.15044312375784577      289.92609436413034
0.03709568551484483       0.34676993437237896      0.08228561134118374      307.8269934372383
